article,source,teg,link
Минфин представил параметры прогрессивного НДФЛ,Коммерсантъ,['Коммерсантъ'],https://news.mail.ru/economics/61272961/
Alibaba перестала принимать платежи в рублях от бизнеса,Коммерсантъ-FM,['Коммерсантъ-FM'],https://news.mail.ru/economics/61272252/
Террористы опубликовали ролик с похищенным в Израиле россиянином,РБК,"['РБК', 'Политика']",https://news.mail.ru/politics/61273135/
«Преподал урок». На Западе восхитились словами Путина о Зеленском,© РИА Новости,"['© РИА Новости', 'Политика']",https://news.mail.ru/politics/61272251/
AFP узнало об ударах Украины по территории России оружием из США,РБК,"['РБК', 'События']",https://news.mail.ru/incident/61272394/
"Путин: если польские военные зайдут на Украину, они уже не уйдут",Коммерсантъ,"['Коммерсантъ', 'Политика']",https://news.mail.ru/politics/61269536/
«Хуже врагов». Зеленский устроил истерику на конференции в Бельгии,© РИА Новости,"['© РИА Новости', 'Политика']",https://news.mail.ru/politics/61265769/
"Путин рассказал о том, какова задумка хозяев Украины",© РИА Новости,"['© РИА Новости', 'Политика']",https://news.mail.ru/politics/61268151/
Главные легенды о «Тайной вечере» Леонардо да Винчи,ВФокусе Mail.ru,['ВФокусе Mail.ru'],https://news.mail.ru/society/61265266/
В Сиднее стартовал ежегодный фестиваль света,ВФокусе Mail.ru,['ВФокусе Mail.ru'],https://news.mail.ru/society/61261913/
Bild: ВСУ однажды применили Patriot вопреки соглашениям,ТАСС,"['ТАСС', 'Политика']",https://news.mail.ru/politics/61271019/
